"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_sd","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,0.158782908495066,1.03471748682275,"H",0.826877780235302,0.561325114304463,"H",-0.656942026744625,0.660769040422154,"L",0.0436597752008105,0.35901443132152,"H",6.67232612880089,0.922271580789586,"H",0.0223514510542732,0.580616730806278,"H",0.315795663239893,1.50203033011831,"H",0.0235650980072523,0.613838543697204,"M",0,0,"M",0.285714285714286,0.487950036474267,"H",0,0,"M",0,0,"M",0,0,"M","high attention"
2,3.17570128957914,0.702255780683695,"H",-0.0437572465798554,0.32752885996093,"M",-0.710783791473064,0.346385672796672,"L",-0.0606660926442424,0.254574626598687,"M",-0.350886728218304,0.262072323744662,"M",-0.189012974504181,0.366899245650967,"M",-0.658826511101338,0.125608388560388,"L",-0.553929188733885,0.205795318068457,"L",0,0,"M",0,0,"M",0.0625,0.25,"H",0,0,"M",0.375,0.5,"H","medium attention"
3,-0.0237178375537384,0.386388792780403,"M",0.0675561587137667,0.407625230369898,"M",-0.111005999908061,0.332200034146766,"L",-0.173050865364889,0.131993796670368,"M",1.51079051310038,0.508892070651499,"H",-0.318877347130729,0.0541601960974559,"M",-0.464728212927272,0.210440306788795,"L",-0.227424011521516,0.403877692751405,"M",0.189189189189189,0.397061276955658,"H",0.0540540540540541,0.229243435135126,"H",0.27027027027027,0.450225168890748,"H",0,0,"M",0.108108108108108,0.314800093867678,"H","medium attention"
4,6.14307464824229,1.96387001747254,"H",0.689763602249873,0.731988291041725,"M",-0.554952228333097,0.801294824807836,"L",-0.123005400587766,0.139842927999763,"M",-0.0967979377609903,0.672300003987052,"M",0.152975298741713,1.25326442375768,"H",-0.103263015912062,0.641361696835929,"M",0.29634929589279,0.432996422045862,"M",0.0476190476190476,0.218217890235992,"H",0.0952380952380952,0.300792603759119,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
5,-0.543185376050624,0.108660193132976,"L",1.75770852256405,0.364045482919653,"H",-1.07122243513784,0.230096077719368,"L",-0.290515658152731,0.104742094908611,"L",-0.210993077412208,0.337028272012093,"M",-0.272655448730336,0.141149162871065,"M",-0.345773506306136,0.0713659668560786,"L",2.08202136703293,0.38572196653771,"H",0.130434782608696,0.338255045745869,"H",0.0260869565217391,0.160091507013486,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
6,-0.225565050533414,0.401610188814883,"M",-0.875405409198138,0.19512679809642,"L",0.773055525268254,0.319559442753446,"M",0.321023391974657,0.382693502824311,"H",-0.353271585920547,0.299102110572365,"M",-0.277083744768948,0.196794137057843,"M",-0.734732877233481,0.0979467016079835,"L",-0.770187402659548,0.10217946617212,"L",0,0,"M",1,0,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
7,-0.434215331647021,0.360609881631731,"L",1.10715066598946,0.330817906307579,"H",-1.37687988530996,0.382127870613931,"L",-0.312756955340773,0.0520967679587242,"L",-0.408026069545889,0.151301935014488,"M",-0.246029207967105,0.267010072189116,"M",-0.478164231832246,0.137432560116956,"L",1.09923425071132,0.323164708996716,"H",0.0526315789473684,0.224481485405887,"H",0.0105263157894737,0.102597835208515,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
8,-0.104519872296405,0.310566418407606,"M",-0.85258641126035,0.126428951877855,"L",1.14723112390912,0.165010283902844,"H",-0.168187430671572,0.115180100782795,"M",-0.247286443433615,0.262133285873081,"M",-0.21336012513968,0.329908135423202,"M",0.820912345262965,0.217029269087548,"H",-0.27410920400645,0.160662735771513,"M",0.0454545454545455,0.21320071635561,"H",1,0,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
9,-0.45672943861461,0.0874304236745128,"L",0.128832990663481,0.47872546193141,"M",0.461155265315275,0.279905467971543,"M",-0.428390150983233,0.0253005035241066,"L",3.62768888814196,0.808240001861026,"H",3.62509672412166,1.31628353813727,"H",2.450642218576,0.0687455186647742,"H",-0.208184930558799,0.11324410181929,"M",0,0,"M",0,0,"M",0.1,0.316227766016838,"H",0,0,"M",0.2,0.421637021355784,"H","medium attention"
10,-0.281132530386096,0.220914089301245,"M",-0.541879146454259,0.210590460800221,"L",-0.0957269679669499,0.264054039087277,"L",-0.0634810467008979,0.23602328787487,"M",-0.333460132731008,0.262551090081786,"M",-0.297940260850919,0.159722360765152,"M",-0.808708125379867,0.0841730415899655,"L",-0.797739597734854,0.140390895822461,"L",0,0,"M",0,0,"M",0.0588235294117647,0.237043540378384,"H",0,0,"M",0,0,"M","medium attention"
