"K","UNIF"
3,0.0106710414512144
4,0.00613497148465926
5,0.0116961014457778
6,0.00934215237237877
7,0.0142386451116243
8,0.0135706756109248
9,0.0158908547187547
10,0.0151820904723296
11,0.0228817107556855
12,0.0294124035871529
13,0.020779255227683
14,0.0241874566319722
15,0.0315261029275352
16,0.0396033996810068
17,0.0650146341463415
18,0.0530040223797672
19,0.0780940451382197
20,0.0679271190124641
21,0.0720996009069092
22,0.0833163597464409
23,0.0555674560385147
24,0.0603766613001721
25,0.0600943947951575
26,0.063695695306059
27,0.0832909269142795
28,0.066151162366337
29,0.0752673049001555
30,0.0708721809214985
31,0.0661468794070768
32,0.0560051907925228
33,0.0697868618929561
34,0.068740111494558
35,0.0869431413743153
36,0.0918391046607856
37,0.0874321553862821
38,0.108339657423282
39,0.096611256052578
40,0.0944568468665645
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0.109294207500904
52,0.106604222746006
53,0.102750609915879
54,0.0961739369667148
55,0.0993836611282632
56,0.0975097100435742
57,0
58,0
59,0
60,0
