"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_sd","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,-0.430033171556221,0.101101221031771,"L",-0.055321782640843,0.434204498637135,"M",0.496417663886902,0.270896765072047,"M",-0.402781577747771,0.0400297102326826,"L",3.8335656191602,0.96555135501022,"H",0.599258380904391,1.36100439194914,"H",2.42348107713962,0.0916502475893534,"H",-0.243912633230463,0.126027178207234,"M",0,0,"M",0.0222222222222222,0.149071198499986,"H",0.244444444444444,0.434613493680177,"H",0,0,"M",0.111111111111111,0.317820863081864,"H","high attention"
2,2.43275285345977,0.90157325662492,"H",-0.910447535079643,0.286348810665667,"L",0.76897278849129,0.600268008100871,"M",0.610755047905981,0.713045453082026,"H",-0.227903116763846,0.427416873294358,"M",-0.255014286467883,0.295730228022632,"M",-0.169484305480655,0.947506776790059,"M",-0.643689312159711,0.269012646173575,"L",0,0,"M",0,0,"M",0,0,"M",0.0454545454545455,0.21320071635561,"H",0.0454545454545455,0.21320071635561,"H","medium attention"
3,0.181547112432821,0.770636753167949,"H",-0.168762109729693,0.659394312304917,"M",0.44739126851686,0.834462989779471,"M",-0.18038447862509,0.249498812049312,"M",-0.0738588656716685,0.642694940029067,"M",2.91969259618172,0.731877927720375,"H",0.309067294603353,0.893453921871883,"H",-0.175831016273197,0.408761789529584,"M",0.111111111111111,0.317220634287258,"H",0.148148148148148,0.358582503198747,"H",0.111111111111111,0.317220634287258,"H",0,0,"M",0.0740740740740741,0.264350528572715,"H","high attention"
4,5.97481651136489,1.95370462980743,"H",0.750080834150627,0.729661623764454,"H",-0.560887833852484,0.765637175510894,"L",-0.133218198516369,0.138574702466319,"M",-0.0544852080288222,0.656163920120468,"M",0.110016669474814,1.20339266577662,"H",-0.111121343365702,0.612453125846034,"M",0.320173062373384,0.420501673177074,"M",0.0434782608695652,0.208514414057075,"H",0.0869565217391304,0.28810406552003,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
5,0.872411415346546,0.558774382424983,"H",1.35259188403942,0.319306274557254,"H",-0.29017944750562,0.259236216717082,"L",-0.237194923147752,0.115953517603572,"M",0.502490721529098,0.598644705924858,"H",-0.242368404124685,0.260909421864331,"M",0.127291487808115,0.189745444963517,"M",1.25985887708421,0.375230341004486,"H",0.846153846153846,0.363136519601281,"H",0.653846153846154,0.478822231387317,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
6,-0.0603358536235997,0.371543232731606,"M",-0.225228181756495,0.34010014709622,"L",-0.418063375689687,0.386877151704221,"L",-0.220464882168481,0.151567998833713,"M",-0.260334806052742,0.345590573875505,"M",-0.293644466117226,0.148314367550217,"M",-0.72546144561272,0.124830315984501,"L",-0.651557601585514,0.201383164756984,"L",0.025,0.157109975188711,"H",1,0,"H",0.075,0.265053135346409,"H",0,0,"M",0,0,"M","medium attention"
7,-0.52799388923264,0.209879060696238,"L",1.29063368075097,0.357736719540169,"H",-1.2550619689445,0.350329590961206,"L",-0.2955085237392,0.100100083767862,"L",-0.335820649258591,0.336363211934546,"M",-0.246324052100121,0.236884687716572,"M",-0.427813940650612,0.131593407536259,"L",1.36580028934031,0.428466680683704,"H",0.0928571428571429,0.291274267434451,"H",0.0214285714285714,0.145328065630198,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
8,0.456900331908458,1.59065475014993,"H",-0.561071472222943,0.538787651546002,"L",0.940250681105814,0.361438885834167,"M",-0.149659919260744,0.197194392573566,"M",0.0120619700298601,0.976266013424258,"H",6.04345933712991,1.63821952325074,"H",0.960815308301697,0.847640423113497,"H",-0.34911106981739,0.307331910377183,"M",0.04,0.2,"H",0.16,0.374165738677394,"H",0,0,"M",0,0,"M",0.28,0.458257569495584,"H","high attention"
9,-0.165508612578563,0.338949296594317,"M",-0.772936449957284,0.415480028757129,"L",1.19886956249703,0.225299599221085,"H",0.00729345401993986,0.220814577666287,"H",-0.378244542723801,0.246082014708089,"M",-0.0210989648404733,0.518132846494805,"H",0.0224274962385126,0.350698404871984,"M",-0.548827399471273,0.274134203764789,"L",0.02,0.140469013039037,"H",0.00666666666666667,0.0816496580927726,"H",0.12,0.32605018759727,"H",0,0,"M",0.186666666666667,0.390949054623441,"H","high attention"
10,-0.15494532827615,0.367726975339425,"M",-0.849157303894976,0.243139240255921,"L",0.594178301112731,0.3536927786942,"M",0.191816824610013,0.336825121533417,"H",-0.361113720293482,0.278064326320459,"M",-0.256333780137868,0.312086110336466,"M",-0.768416669776233,0.108910452829102,"L",-0.814737616413304,0.0912864261609604,"L",0.0308641975308642,0.173485979750091,"H",0.209876543209877,0.408483010365083,"H",0.0246913580246914,0.155663966954727,"H",0.0185185185185185,0.135234887548347,"H",0.0987654320987654,0.299271922783582,"H","high attention"
11,-0.338261113171,0.0325517730220818,"L",-1.39860475389291,0.0210577983566813,"L",1.14732436700709,0.0745012455949055,"H",9.13455149719487,0.432343382999274,"H",-0.521591502617178,0,"L",-0.392866438435991,0.0129069232284572,"L",-1.75679517533755,0.12810664434629,"L",-1.01894441346941,0.0302437149693325,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","low attention"
12,-0.5449587526229,0.104334394525793,"L",2.156252787916,0.477497678343131,"H",-1.07743273633369,0.20686071651788,"L",-0.338729890948165,0.108196516113539,"L",-0.253090990188755,0.414104675154745,"M",-0.258613492562708,0.218113098973184,"M",-0.308534949053065,0.0650995802244388,"M",2.70107714196942,0.687582276645408,"H",0.241379310344828,0.429776274562605,"H",0.0517241379310345,0.222430353973588,"H",0.0258620689655172,0.159412339086639,"H",0,0,"M",0,0,"M","medium attention"
13,-0.341867518914883,0.352761040353192,"L",0.340112098790409,0.30099241214631,"M",-1.50103654174529,0.283248879871091,"L",-0.309656990386832,0.0846734258563857,"L",-0.360016530883521,0.287312190056112,"M",-0.170924301214887,0.455529064345215,"M",-0.707458737921479,0.0923552169969319,"L",-0.0735503575563968,0.396661459087624,"M",0.08125,0.274076493936094,"H",0.0375,0.190580048055879,"H",0.0625,0.242821465589316,"H",0,0,"M",0.05,0.218629234409227,"H","medium attention"
14,0.00138525510319286,0.473236846878528,"M",0.740059142692129,0.305703454094332,"H",-0.25654213992961,0.359983148828222,"L",-0.270426617241377,0.0624939095784654,"L",0.0443118397320844,0.541038542457855,"H",-0.108560564057364,0.446671763611978,"H",-0.126594050461428,0.21475218367472,"M",0.500538240462361,0.400893852492533,"H",0.313725490196078,0.46629766035944,"H",0.274509803921569,0.448470729203631,"H",0.186274509803922,0.391250651645622,"H",0,0,"M",0.0196078431372549,0.139333076031824,"H","high attention"
15,0.0577039440457759,0.30919888832696,"H",-0.482628949095159,0.416299558869252,"L",1.02710665288449,0.169234733222133,"H",-0.114304707768961,0.109967405873326,"M",-0.0945406582638485,0.429918503866249,"M",-0.0545718831821812,0.477849839164428,"H",0.419638854246083,0.385592793400854,"H",-0.257345435466498,0.201894900305547,"M",0,0,"M",1,0,"H",0.0952380952380952,0.295901341136934,"H",0,0,"M",0.0952380952380952,0.295901341136934,"H","high attention"
16,-0.158700373095729,0.464406770482917,"M",-0.508686415435021,0.27837999799456,"L",-0.204346791446917,0.455604941704887,"L",-0.0694012400411162,0.227101381083193,"M",-0.299956893910713,0.413508218531859,"M",-0.242009280794402,0.308394639013422,"M",-0.813088863387822,0.102730434517762,"L",-0.794266362284674,0.114457719194519,"L",0.0175438596491228,0.132453235706504,"H",0.315789473684211,0.468961418487785,"H",0.140350877192982,0.350438322025231,"H",0,0,"M",1,0,"H","medium attention"
17,-0.266564933788113,0.257201054973159,"M",-0.908373873356771,0.289553693914421,"L",1.04005677726251,0.234953850332643,"H",-0.223498013058576,0.236519279544336,"M",-0.351739941693872,0.291127026590244,"M",-0.195559091059345,0.346107987455182,"M",1.71686042570326,0.405651658726039,"H",-0.416130225208739,0.199802526892742,"L",0.00947867298578199,0.0971263941869277,"H",0.018957345971564,0.136698671330042,"H",0.0805687203791469,0.272818898185962,"H",0,0,"M",0,0,"M","medium attention"
18,-0.368170610805081,0.180419677419825,"L",-0.364667733937833,0.421184204839127,"L",0.677233900924497,0.272828720788252,"M",-0.383834017705358,0.0656138517102101,"L",1.76601001749623,0.675613201087116,"H",0.0153014509715024,0.622883274721183,"H",2.32580491990213,0.204951697124605,"H",-0.283333164489363,0.127757600832499,"M",0,0,"M",0.0238095238095238,0.154303349962092,"H",0.142857142857143,0.354168801660573,"H",0,0,"M",0.0952380952380952,0.297101757186175,"H","high attention"
19,-0.320660114151059,0.205579120414591,"L",-1.0007849150377,0.216640350742645,"L",1.14117791161259,0.199750801297435,"H",-0.120209943533303,0.311619837532729,"M",-0.359995577943536,0.32094679723954,"M",-0.205505724178064,0.403509452685134,"M",1.32135700499141,0.516021308168712,"H",-0.496980449514172,0.136814078314094,"L",0,0,"M",0.0540540540540541,0.229243435135126,"H",0.027027027027027,0.164398987305357,"H",0,0,"M",1,0,"H","medium attention"
