"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_sd","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,0.383317026770133,1.55201557839537,"H",-0.520277831154678,0.576617945543616,"L",0.938602467535303,0.387675777122473,"M",-0.160725091143324,0.209781293769176,"M",-0.0354511028640398,1.01633994209999,"M",6.35903614083495,1.60018421412356,"H",0.93099920854182,0.85672334749054,"H",-0.337946128016813,0.323836117953201,"M",0.0476190476190476,0.218217890235992,"H",0.19047619047619,0.402373908081478,"H",0,0,"M",0,0,"M",0.238095238095238,0.436435780471985,"H","medium attention"
2,2.64487396659883,0.835286778174422,"H",-1.00054229396338,0.283395598593811,"L",1.02910298654124,0.494564438964056,"H",0.64393519725295,0.785885664711571,"H",-0.212914215976636,0.447046682117487,"M",-0.0919989122792114,0.790191801243292,"H",0.122492186174327,1.02830894539366,"M",-0.577928789421723,0.292331698744177,"L",0,0,"M",0,0,"M",0,0,"M",0.0588235294117647,0.242535625036333,"H",0.0588235294117647,0.242535625036333,"H","high attention"
3,-0.321661116313746,0.320393254273503,"L",-1.06568314969292,0.207744614690267,"L",1.06339825205115,0.385977837499313,"H",1.64857159059066,0.49351222343269,"H",-0.408475486202086,0.158568431916454,"M",-0.141922297772651,0.483777658075035,"H",-0.735504046644816,0.279328740767276,"L",-0.802877216177951,0.0852012167559526,"L",0,0,"M",0.112903225806452,0.319057973542782,"H",0,0,"M",0,0,"M",0.112903225806452,0.319057973542782,"H","high attention"
4,6.37022798995767,2.03816236313573,"H",0.635799927567397,0.764601326736396,"M",-0.536642278804002,0.866761491040378,"L",-0.120097649809407,0.150792949190619,"M",-0.0502954245186539,0.71638311248986,"M",0.191677991503796,1.35147954083412,"H",-0.0712652391908302,0.689360541808903,"M",0.323014436345619,0.458251116971964,"M",0.0555555555555556,0.235702260395516,"H",0.111111111111111,0.323380833381777,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
5,0.865300487525661,0.507004263071983,"H",1.34642878695968,0.331103553757742,"H",-0.288990648143613,0.245047062992799,"L",-0.244966380909293,0.0894662702823047,"L",0.456580598310965,0.569438170292616,"H",-0.247733481266466,0.262662108186252,"M",0.132442223720422,0.18449694296576,"M",1.26311616949042,0.382938067384026,"H",0.855263157894737,0.354173116556336,"H",0.671052631578947,0.472952651463459,"H",0,0,"M",0,0,"M",0,0,"M","high attention"
6,-0.138206220901578,0.416464327722277,"M",-0.762634379338771,0.231403584683479,"L",0.436207076850379,0.410358165719922,"M",0.0968109212679433,0.330805011008408,"H",-0.38974185019246,0.270735122622889,"M",-0.287159369887241,0.16977689204075,"M",-0.761124699624196,0.0924391989802349,"L",-0.791068486132946,0.0910561149238806,"L",0.0208333333333333,0.144337567297406,"H",1,0,"H",0.0208333333333333,0.144337567297406,"H",0,0,"M",0,0,"M","medium attention"
7,-0.52728124780859,0.210468054716189,"L",1.29173006204519,0.358794388050545,"H",-1.26250032808866,0.340320376825662,"L",-0.295794937847758,0.100404520875434,"L",-0.336069852955999,0.337566748346903,"M",-0.245798247722061,0.237659409084134,"M",-0.432103095289057,0.121852726786149,"L",1.36497463570854,0.429904504471234,"H",0.0863309352517986,0.281867848274946,"H",0.0215827338129496,0.14584217692178,"H",0,0,"M",0,0,"M",0,0,"M","medium attention"
8,0.154021643906181,0.286123789387166,"H",-0.0511433518477357,0.157835314762518,"M",0.886214245070128,0.134101702067735,"M",-0.125736011567481,0.0828611517136131,"M",-0.213603333765574,0.445430978878532,"M",-0.101394822587923,0.334144877685156,"H",-0.0252804288762277,0.230020856495821,"M",-0.2746339210939,0.206328003273192,"M",0.0192307692307692,0.138675049056307,"H",0.461538461538462,0.503382225707634,"H",0.25,0.437237316097603,"H",0,0,"M",0.0192307692307692,0.138675049056307,"H","medium attention"
9,-0.327207436920723,0.246733807470247,"L",-0.945429943643672,0.293023230210704,"L",1.32616010172598,0.164178408352658,"H",-0.0183828543496454,0.190825553509988,"H",-0.404902464340637,0.19393949567906,"M",-0.219635282556011,0.300549886678962,"M",0.0696594257358235,0.369684692374152,"M",-0.650275758663055,0.118959279828174,"L",0,0,"M",0.0833333333333333,0.280305955290694,"H",0,0,"M",0,0,"M",0.972222222222222,0.166666666666667,"H","medium attention"
10,-0.208877243368757,0.325089683490391,"M",-0.924914809224086,0.230171721079956,"L",0.86683851052932,0.424239219755909,"M",0.137641990753215,0.269838933423417,"H",-0.419596265829522,0.205069236743058,"L",-0.284141139956701,0.184113391729629,"M",-0.547779117506686,0.341646437261016,"L",-0.786610619517606,0.0938799766002929,"L",0.0454545454545455,0.209092417699654,"H",0.00757575757575758,0.0870388279778489,"H",0.0681818181818182,0.253017870961078,"H",0.0227272727272727,0.149600439385254,"H",0,0,"M","high attention"
