"longitude","latitude","reconstruction_log_probability","percentile"
14.67765369,55.04932413,-13.0202751159668,"0-25"
14.57765369,54.94932413,-8.19412517547607,"0-25"
14.67765369,54.94932413,-8.68961048126221,"0-25"
12.87765369,55.54932413,-8.58427047729492,"0-25"
19.57765369,56.04932413,-5.23273181915283,"25-50"
14.27765369,54.74932413,-6.79857873916626,"0-25"
20.27765369,55.44932413,-5.23615598678589,"25-50"
10.77765369,54.44932413,-6.5843653678894,"0-25"
10.97765369,54.44932413,-5.21670913696289,"25-50"
16.67765369,54.94932413,-4.96070766448975,"25-50"
14.47765369,53.74932413,-6.10020923614502,"0-25"
18.17765369,56.14932413,-5.37058258056641,"0-25"
20.27765369,55.34932413,-5.17131853103638,"25-50"
20.17765369,55.34932413,-5.24966859817505,"25-50"
10.87765369,54.44932413,-6.66735601425171,"0-25"
20.37765369,55.34932413,-5.11568021774292,"25-50"
10.47765369,56.84932413,-5.19130182266235,"25-50"
10.57765369,56.74932413,-5.17502737045288,"25-50"
10.47765369,56.74932413,-5.36599111557007,"25-50"
20.37765369,55.24932413,-5.18318843841553,"25-50"
20.37765369,55.44932413,-5.23779296875,"25-50"
20.47765369,55.34932413,-5.18592119216919,"25-50"
10.47765369,56.64932413,-5.40779829025269,"0-25"
16.77765369,54.94932413,-4.98923063278198,"25-50"
20.47765369,55.24932413,-5.07425498962402,"25-50"
12.57765369,55.24932413,-5.05740928649902,"25-50"
12.57765369,55.34932413,-5.1017107963562,"25-50"
12.27765369,55.14932413,-5.04021263122559,"25-50"
10.07765369,54.74932413,-5.76912832260132,"0-25"
20.47765369,55.44932413,-5.28219556808472,"25-50"
16.47765369,54.74932413,-7.38604354858398,"0-25"
20.57765369,55.04932413,-5.46356916427612,"0-25"
14.47765369,54.94932413,-5.05991220474243,"25-50"
10.87765369,55.24932413,-5.3168740272522,"25-50"
12.67765369,55.24932413,-5.09064149856567,"25-50"
12.87765369,55.14932413,-5.42269992828369,"0-25"
20.57765369,55.34932413,-5.10295009613037,"25-50"
11.87765369,57.24932413,-6.51855182647705,"0-25"
20.77765369,56.44932413,-6.73442506790161,"0-25"
12.07765369,54.54932413,-5.04573631286621,"25-50"
12.17765369,54.64932413,-5.13157224655151,"25-50"
11.87765369,54.44932413,-5.19477844238281,"25-50"
12.67765369,55.14932413,-5.16602373123169,"25-50"
12.47765369,55.54932413,-5.25470066070557,"25-50"
15.57765369,54.24932413,-5.48729610443115,"0-25"
12.67765369,55.04932413,-5.11438846588135,"25-50"
10.07765369,54.54932413,-7.05149126052856,"0-25"
11.77765369,54.44932413,-6.96936893463135,"0-25"
10.97765369,56.74932413,-5.26291465759277,"25-50"
10.07765369,54.64932413,-7.07092428207397,"0-25"
10.97765369,54.94932413,-7.24522304534912,"0-25"
11.07765369,55.04932413,-5.21540880203247,"25-50"
12.77765369,54.94932413,-5.32101011276245,"25-50"
20.97765369,55.74932413,-5.4390664100647,"0-25"
12.97765369,55.14932413,-5.3491644859314,"25-50"
11.57765369,57.34932413,-7.02802038192749,"0-25"
12.17765369,54.74932413,-5.11440896987915,"25-50"
20.87765369,55.34932413,-5.08242607116699,"25-50"
12.27765369,54.84932413,-5.11825084686279,"25-50"
10.37765369,56.14932413,-5.24069881439209,"25-50"
10.27765369,56.14932413,-5.37051486968994,"0-25"
12.57765369,55.04932413,-5.08292579650879,"25-50"
12.87765369,54.94932413,-5.37272882461548,"0-25"
11.27765369,54.04932413,-5.32358837127686,"25-50"
11.17765369,54.24932413,-7.16054439544678,"0-25"
